---,分隔線,商店資訊---
公司名稱,阿鸞魯肉飯
城市,台北市
鄉鎮市區,北投區
詳細地址,明德路33號
電話,02-2827-1231
介紹,
訂購備註,
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,飯品類
2,麵食
3,湯品
4,羹
5,青菜

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,麵體,1
---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,麵,0
1,冬粉,0
1,米粉,0

---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,,105,豬排飯,,
1,,小$105&大$120,麻婆豆腐燴飯,,
1,,100,控肉飯,,
1,,小$100&大$120,咖哩飯,,
1,,小$75&大$85,肉羹飯,,
1,,小$75&大$85,魷魚羹飯,,
1,,小$40&大$60,魯肉飯,,

2,1,小$40&大$60,肉燥乾麵、冬粉、米粉,,
2,1,小$40&大$60,肉燥湯麵、冬粉、米粉,,
2,1,小$75&大$85,肉羹麵、冬粉、米粉,,
2,1,小$75&大$85,魷魚羹麵、冬粉、米粉,,
2,,小$80&大$90,鮮肉餛飩麵,,
2,,小$100&大$120,咖哩麵,,    
2,1,100,肉絲湯麵、冬粉、米粉,,
2,,小$100&大$120,肉絲炒麵,
2,1,110,什錦湯麵、冬粉、米粉,,
2,,小$100&大$120,什錦炒麵,

3,,25,貢丸湯,,
3,,25,蛋花湯,,
3,,25,鱈魚丸湯,,
3,,60,鮮肉大餛飩,,

4,,55,肉溝,,
4,,55,魷魚溝,,

5,,40,燙青菜,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
