---,分隔線,商店資訊---
申請編號,
公司名稱,五十嵐企業股份有限公司
城市,台南市
鄉鎮市區,南區
詳細地址,新愛路1號
電話,06-2921133
網址,
聯絡人,
聯絡人電話,
介紹,綠茶連鎖專賣店
訂購備註,
進件管道, 
主分類,B
次分類,1
是否顯示,1
強制更新,1
版本,4

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,找好茶
2,找奶茶
3,找拿鐵
4,找新鮮


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,甜度選項,1
2,冰塊選項,1
3,冰塊選項,1


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,無糖,0
1,微糖,0
1,半糖,0
1,少糖,0
1,全糖,0
2,去冰,0
2,微冰,0
2,少冰,0
2,全冰,0
2,溫,0
2,熱,0
3,去冰,0
3,微冰,0
3,少冰,0
3,全冰,0

---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,1&2,M$25&L$30,茉莉綠茶,,
1,1&2,M$25&L$30,阿薩姆紅茶,,
1,1&2,M$25&L$30,四季春青茶,,
1,1&2,M$25&L$30,黃金烏龍,,
1,1&2,M$35&L$45,波霸紅,,
1,1&2,M$35&L$45,微檸檬青,,
1,1&2,M$40&L$55,檸檬綠,,
1,1&2,M$40&L$55,梅の綠,,
1,1&2,M$40&L$55,8冰綠,,
1,1&2,M$40&L$55,多多綠,,
1,1&2,M$40&L$55,旺來紅,,
1,1&2,M$40&L$55,柚子紅,,
1,1&2,M$50&L$65,鮮柚綠,,

2,1&2,M$40&L$55,奶茶,,
2,1&2,M$40&L$55,奶綠,,
2,1&2,M$40&L$55,烏龍奶,,
2,1&2,M$40&L$55,珍珠奶茶,,
2,1&2,M$40&L$55,波霸奶茶,,
2,1&2,M$40&L$55,燕麥奶茶,,
2,1&2,M$40&L$55,阿華田,,

3,1&2,M$50&L$65,紅茶拿鐵,,
3,1&2,M$50&L$65,珍珠紅茶拿鐵,,
3,1&2,M$50&L$65,波霸紅茶拿鐵,,
3,1&2,M$50&L$65,燕麥紅茶拿鐵,,
3,1&2,M$50&L$65,阿華田拿鐵,,

4,1&2,M$40&L$55,8冰茶,,
4,1&2,M$40&L$55,柚子茶,,
4,1&2,M$50&L$65,檸檬汁,,
4,1&2,M$50&L$65,葡萄柚汁,,
4,1&2,M$50&L$65,金桔檸檬,,
4,1&2,M$50&L$65,檸檬梅汁,,
4,1&2,M$55&L$75,檸檬多多,,
4,1&2,M$55&L$75,葡萄柚多多,,

5,1&2,M$40&L$55,冰淇淋紅茶,,
5,1&2,M$40&L$55,芒果青,,
5,1&2,M$40&L$55,荔枝烏龍,,
5,1&2,M$50&L$65,冰淇淋奶茶,,
5,1&2,M$55&L$75,冰淇淋紅茶拿鐵,,
5,1&2,M$60&L$80,冰淇淋麵茶紅茶拿鐵,,

---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
50嵐 南門店,06-213-2255,台南市,中西區,南門路257號,23.0058394,120.1937189
50嵐 府前店,06-214-7000,台南市,中西區,府前路1段369號,22.981845,120.203871
50嵐 民族店,06-225-0577,台南市,中西區,民族2段139號,22.9982495,120.1755528
50嵐 赤崁店,06-223-8688,台南市,中西區,民族路2段260號,22.9974956,120.2010842
50嵐 金華店,06-226-3698,台南市,中西區,金華路3段160號,,
50嵐 青年店,06-229-2227,台南市,中西區,青年路136號,22.9900293,120.198886
50嵐 公園路,06-2526049,台南市,北區,公園路790號,22.9668432,120.1921135
50嵐 南園店,06-276-0490,台南市,北區,南園街118號,22.9776715,120.1903393
50嵐 文賢店,06-259-5979,台南市,北區,文賢路466號,23.0074797,120.2255643
50嵐 長榮店,06-200-8366,台南市,北區,長榮路5段39號,22.9974956,120.2010842
50嵐 大同店,06-215-2222,台南市,南區,大同路2段428號,,
50嵐 德興店,06-2635445,台南市,南區,德興路14號,22.9982495,120.1755528
50嵐 文南店,06-261-1131,台南市,南區,文南路327號,22.9818488,120.1916528
50嵐 新孝店,06-263-2007,台南市,南區,新孝路27號,22.9716202,120.230229
50嵐 灣裡店,06-262-8291,台南市,南區,灣裡路264號,22.9948002,120.2074768
50嵐 金華二店,06-223-0111,台南市,南區,金華路2段262號,22.9668432,120.1921135
50嵐 安平店,06-250-5252,台南市,安平區,安平路376-1號,22.9917755,120.2093394
50嵐 平通店,06-298-5252,台南市,安平區,平通路426號,,
50嵐 中華東店,06-267-8877,台南市,東區,中華東路3段152號,23.0123171,120.2313208
50嵐 大林店,06-213-5899,台南市,東區,大同路2段118號,,
50嵐 岡山站前店,07-6242333,高雄市,岡山區,民有路71號,22.7920162,120.2971397
50嵐 柳橋店,07-6271103,高雄市,岡山區,柳橋西路一段7號,22.7899539,120.2832938
50嵐 維仁店,07-6241533,高雄市,岡山區,維新路138號,22.7931123,120.2913823
50嵐 路竹店,07-6970180,高雄市,路竹區,智仁街291號,22.8583168,120.2658286
