---,分隔線,商店資訊---
申請編號,
公司名稱,正忠排骨飯股份有限公司
城市,高雄市
鄉鎮市區,三民區
詳細地址,正忠路63號1樓
電話,07-381-1111
網址,
聯絡人,
聯絡人電話,
介紹,在地人的口味，出外人的便當
訂購備註,
進件管道,
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,4

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,經典飯包

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,,75,三杯雞肉飯,,
100,,75,宮保雞丁飯,,
100,,80,糖醋小排飯,,
100,,80,鮮魚飯,,
100,,80,爌肉飯,,
100,,80,黑胡椒豬排飯,,
100,,80,雞排飯,,
100,,80,正忠排骨飯,,
100,,80,炸雞腿飯,,
100,,80,燒雞腿飯,,
100,,80,燒全翅飯,,
100,,80,鱈魚飯,,
100,,80,虱目魚肚飯,,
100,,80,正忠排骨飯,,
100,,90,炸雞腿飯,,
100,,90,燒雞腿飯,,
100,,90,燒全翅飯,,
100,,90,鱈魚飯,,
100,,95,虱目魚肚飯,,
100,,130,虱目魚肚飯,,

---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
