---,分隔線,商店資訊---
申請編號,44
公司名稱,深耕茶業股份有限公司
城市,臺北市
鄉鎮市區,中正區
詳細地址,忠孝西路一段100號10樓
電話,0800600150
網址,
聯絡人,
聯絡人電話,
介紹,
訂購備註,綠茶連鎖專賣店
進件管道,
主分類,A
次分類,1
是否顯示,1
強制更新,0
版本,4

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,找好茶
2,找新鮮
3,找口感
4,找奶茶


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,甜度選項,1
2,冰塊選項,1
3,茶種選項,1
4,奶茶選項,1
5,飲料選項,1

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,正常甜度,0
1,不要太甜,0
1,少糖,0
1,半糖,0
1,微糖,0
1,無糖,0
2,正常冰,0
2,少冰,0
2,微冰,0
2,去冰,0
2,常溫,0
2,溫,0
2,熱,0
3,紅茶,0
3,綠茶,0
3,青茶,0
3,烏龍查,0
4,奶綠,0
4,烏龍奶,0
5,奶茶,0
5,奶綠,0

---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,1&2,M$35&L$40,茉莉綠茶,,
1,1&2,M$35&L$40,阿薩姆紅茶,,
1,1&2,M$35&L$40,四季春青茶,,
1,1&2,M$35&L$40,黃金烏龍,,
1,1&2,M$50&L$60,檸檬綠,,
1,1&2,M$50&L$60,梅の綠,,
1,1&2,M$50&L$60,8冰綠,,
1,1&2,M$50&L$60,養樂多綠,,
1,1&2,M$50&L$60,冰淇淋紅茶,,
1,1&2&3,M$50&L$60,旺來紅/綠/青/烏,,
1,1&2&3,M$50&L$60,柚子紅/綠/青/烏,,
1,1&2,M$60&L$75,鮮柚綠 (季節限定),,

2,1&2,M$55&L$65,檸檬汁,,
2,1&2,M$55&L$65,金桔檸檬,,
2,1&2,M$60&L$75,檸檬梅汁,,
2,1&2,M$65&L$80,檸檬養樂多,,
2,1&2,M$50&L$60,8冰茶,,
2,1&2,M$60&L$75,鮮柚汁 (季節限定),,

3,1&2,M$40&L$50,四季春+珍波椰 ①,,
3,1&2&3,M$40&L$50,波霸紅/綠/青/烏,,
3,1&2,M$50&L$60,波霸奶茶,,
3,1&2&4,M$50&L$60,波霸奶綠/烏龍奶,,
3,1&2&3,M$40&L$50,珍珠紅/綠/青/烏,,
3,1&2,M$50&L$60,珍珠奶茶,,
3,1&2&4,M$50&L$60,珍珠奶綠/烏龍奶,,
3,1&2,M$50&L$60,椰果奶茶,,
3,1&2&5,M$60&L$75,布丁奶茶/奶綠,,


4,1&2&5,M$50&L$60,奶茶/奶綠,,
4,1&2,M$50&L$60,四季奶青,,
4,1&2,M$50&L$60,黃金烏龍奶茶,,
4,1&2,M$50&L$60,紅茶瑪奇朵,,
4,1&2,M$55&L$65,阿華田,,
4,1&2,M$60&L$75,紅茶拿鐵(鮮奶),,
4,1&2,M$60&L$75,黃金烏龍拿鐵(鮮奶),,
4,1&2,M$65&L$80,阿華田拿鐵(鮮奶),,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
50嵐 長春店,02-8712-1710,台北市,松山區,長春路476號
50嵐 吉林店,02-2100-1912,台北市,中山區,吉林路185號
50嵐 莊敬店,02-2345-4912,台北市,信義區,莊敬路392號
50嵐 復興店,02-2709-3698,台北市,大安區,復興南路二段182號
50嵐 松山店,02-2728-1150,台北市,信義區,松山路557號
50嵐 北寧店,02-2570-9520,台北市,松山區,北寧路26號
50嵐 小南門店,02-2388-2310,台北市,中正區,延平南路234號
50嵐 合江店,02-2504-5433,台北市,中山區,合江街111號
50嵐 遼寧店,02-2773-7808,台北市,中山區,遼寧街28號
50嵐 士林延平店,02-2810-1025,台北市,士林區,延平北路六段25-27號
50嵐 重慶店,02-2558-7150,台北市,大同區,重慶北路一段84號
50嵐 新生店,02-2391-5182,台北市,中正區,新生南路一段52-3號1F
50嵐 木柵店,02-8661-3489,台北市,文山區,保儀路69號
50嵐 通化店,02-2739-9748,台北市,大安區,通化街119號
50嵐 西門店,02-2381-9080,台北市,萬華區,漢中街136號
50嵐 台北縣總店,02-2957-2501,新北市,板橋區,中山路二段159號
50嵐 德安店,02-2796-3411,台北市,內湖區,康寧路一段66號
50嵐 雙連店,02-2563-1567,台北市,中山區,錦西街14號
50嵐 公館店,02-2368-4599,台北市,中正區,汀州路三段116-1號
50嵐 北新店,02-2918-9999,新北市,新店區,北新路三段66號
50嵐 中和園區店,02-2222-6116,新北市,中和區,連城路336號
50嵐 內湖園區店,02-2799-1180,台北市,內湖區,內湖路一段425號
50嵐 連城店,02-8241-9000,新北市,中和區,連城路13號
50嵐 東湖店,02-2630-9680,台北市,內湖區,康寧路三段48號
50嵐 耕莘店,02-8665-6335,新北市,新店區,中正路351-3號
50嵐 正義店,02-2985-0855,新北市,三重區,正義北路360號
50嵐 文化店,02-2976-5970,新北市,三重區,文化北路61-3號
50嵐 天母店,02-2871-1101,台北市,士林區,天母北路3號
50嵐 新泰店,02-2277-6250,新北市,新莊區,新泰路311號
50嵐 林口文化店,02-2609-9150,新北市,林口區,文化二路一段120號
50嵐 三和店,02-2286-1850,新北市,三重區,三和路四段205號
50嵐 南勢角店,02-2940-8372,新北市,中和區,景新街396-1號
50嵐 信陽店,02-2375-5886,台北市,中正區,信陽街13號
50嵐 福和店,02-2928-7180,新北市,永和區,福和路239號
50嵐 裕民店,02-2262-9816,新北市,土城區,裕民路89號
50嵐 汐止中興店,02-2694-1757,新北市,汐止區,中興路198號
50嵐 寧波店,02-2396-5396,台北市,中正區,寧波西街51號
50嵐 新莊中和店,02-2997-6475,新北市,新莊區,中和街196號
50嵐 石牌店,02-2821-1346,台北市,北投區,裕民一路23號
50嵐 蘆洲中正店,02-2288-1443,新北市,蘆洲區,中正路101號
50嵐 頭前店,02-2992-4396,新北市,新莊區,化成路209-2號
50嵐 板橋中正店,02-2968-5227,新北市,板橋區,中正路229號
50嵐 政大店,02-8661-7571,台北市,文山區,指南路二段63號
50嵐 三峽文化店,02-2673-3150,新北市,三峽區,文化路26號
50嵐 木新店,02-2937-7040,台北市,文山區,木新路三段158號
50嵐 文德店,02-2657-4987,台北市,內湖區,文德路20號
50嵐 新店中正店,02-2910-9818,新北市,新店區,中正路55號
50嵐 樹林中山店,02-2683-3252,新北市,樹林區,中山路一段150號
50嵐 新東店,02-8787-8717,台北市,松山區,民生東路五段197-1號1樓
50嵐 南港園區店,02-2782-2018,台北市,南港區,南港路一段116號
50嵐 民安店,02-2204-2921,新北市,新莊區,民安西路4號
50嵐 基隆廟口店,02-2421-1682,基隆市,仁愛區,愛四路1號
50嵐 中和環球店,02-2226-5930,新北市,中和區,中山路三段113號
50嵐 鶯桃店,02-2678-6332,新北市,鶯歌區,鶯桃路二段24號
50嵐 土城明德店,02-2262-7000,新北市,土城區,明德路一段57號
50嵐 昆陽遠東店,02-2651-1252,台北市,南港區,南港路三段1號
50嵐 八德店,02-2756-6262,台北市,松山區,八德路四段59號
50嵐 泰山明志店,02-2297-0900,新北市,泰山區,明志路一段287號
