---,分隔線,商店資訊---
公司名稱,延三溫體牛-呂記
城市,台北市
鄉鎮市區,士林區
詳細地址,天母東路8巷31弄4號1樓
電話,0983-336-762
介紹,
訂購備註,
主分類,A
次分類,3
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,飯品類 
2,熱炒類
3,湯品類 
4,拼盤類
5,湯麵類
6,乾麵類
7,特殊類

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,辣度,1
2,蔬菜選項,1

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,不辣,0
1,微辣,0
1,中辣,0
1,大辣,0
2,番茄,0
2,洋蔥,0

---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,,10,白飯,,
1,,25,牛油拌飯,,
1,1,110,牛肉燴飯,,
1,1,110,牛雜蛋蓋飯,,
1,1,120,牛肉蛋炒饭,,
1,1,140,蔥爆牛腩飯,,

2,1,140,炒牛肉,,
2,1,140,炒牛心,,
2,1,140,炒牛肝,,
2,1&2,160,炒心肝肉,,
2,1,160,蕃茄炒骨髓,,
2,1,160,薑絲牛肚,,
2,1,160,蔥爆牛雜,,
2,1,60,炒青菜,,
2,1,60,炒高麗菜,,

3,1,100,清燉牛雜湯,,
3,1,130,原汁牛腩湯,,
3,1,130,川燙牛片湯,,


4,1,160,綜合牛拼盤,,
4,1,150,滷牛腩,,
4,1,150,滷牛雜,,
4,1,150,滷牛肚,,
4,1,150,滷牛筋,,
4,1,150,醬香牛腱,,
4,1,150,醬香牛腸,,
4,1,260,豪華牛五拼,,

5,1,120,原汁牛雜麵,,
5,1,150,原汁牛腩麵,,
5,1,150,原汁牛肚麵,,
5,1,150,原汁牛筋麵,,
5,1,150,原汁牛片麵,,

6,1,60,沙茶乾拌麵,,
6,1,100,牛雜乾拌麵,,
6,1,100,牛肉炒油麵,,
6,1,120,牛肉炒白麵,,

7,,60,水餃(10顆),,
7,,80,蕃茄蛋,,
7,,80,蔥花蛋,,
7,1,小$320&大$640,綜合牛肉爐,,
7,,小$100&大$200,生牛肉片,,
7,,60,菜盤,,
7,,230,套餐(炒牛肉+牛雜湯+白飯),,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
