---,分隔線,商店資訊---
公司名稱,食來運轉
城市,台北市
鄉鎮市區,士林區
詳細地址,小東街31號
電話,02-2880-4931
介紹,士林最強便當店《食來運轉》士林CP值最高的便當神店。
訂購備註,點免費贈送飲料
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,飲料,1
2,追加,0

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,紅茶,0
1,綠茶,0
1,奶茶,0
1,綠奶茶,0
1,不要飲料,0
2,豬肉,70
2,牛肉,80
2,泡菜,45
2,烏龍麵,30


---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,餐點
200,食鍋類
300,炒飯類
400,炒麵類
500,其他

---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,1,150,香酥雞腿飯,,
100,1,140,就是雞翅飯,,
100,1,140,香黃燒肉飯,,
100,1,130,日式豬排飯,,
100,1,130,黃金酥蝦飯,,
100,1,130,精緻魚排飯,,
100,1,130,宮保雞丁飯,,
100,1,130,蔥爆牛肉飯,,
100,1,130,蔥爆烤肉飯,,
100,1,130,鹹酥雞塊飯,,
100,1,130,懷舊滷排骨,,
500,,30,滷肉飯,,
500,,15,白飯,,
500,,15,荷包蛋,,
200,2,180,牛肉鍋,,
200,2,170,豬肉鍋,,
200,2,190,泡菜牛肉鍋,,
200,2,180,泡菜豬肉鍋,,
200,2,190,麻辣牛肉鍋,,
200,2,180,麻辣豬肉鍋,,
300,,120,豬肉炒飯,,
300,,130,牛肉炒飯,,
300,,130,泡菜豬肉炒飯,,
300,,140,泡菜牛肉炒飯,,
400,,120,豬肉炒麵,,
400,,130,牛肉炒麵,,
400,,150,泡菜豬肉烏龍麵,,
400,,160,泡菜牛肉烏龍麵,,
400,,150,咖哩豬肉烏龍麵,,
400,,160,咖哩牛肉烏龍麵,,


---,分隔線,分公司基本資料,---
公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度

