---,分隔線,商店資訊---
公司名稱,老地方牛肉麵
城市,台北市
鄉鎮市區,士林區
詳細地址,天母東路8巷21號
電話,0228772891
營業時間,
介紹,
訂購備註,
主分類,A
次分類,3
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,麵/冬粉類
2,餃子類
3,湯類


---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,麵體：麵/冬粉,1
2,種類,1

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格

1,麵,0
1,冬粉,0
2,高麗菜,0
2,韭菜,0


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,1,小$75&大$95,乾拌[麵/冬粉],,
1,1,小$175&大$190,乾拌牛肉湯[麵/冬粉],,
1,1,小$175&大$190,牛肉[麵/冬粉],,
1,1,小$80&大$95,牛肉湯[麵/冬粉],,
1,1,小$80&大$95,酸辣湯[麵/冬粉],, 
1,1,小$80&大$95,榨菜肉絲[麵/冬粉],,
1,1,小$210&大$225,牛筋[麵/冬粉],,
1,1,小$210&大$225,半筋半肉[麵/冬粉],,

2,,小$115&大$150,牛肉湯餃,,
2,,小$115&大$150,酸辣湯餃,,
2,,小$115&大$150,榨菜湯餃,,
2,2,7.5,豬肉水餃,至少10顆,

3,,45,酸辣湯,,
3,,45,榨菜肉絲湯,,
3,,45,牛肉清湯,,
3,,175,牛肉湯,,
3,,210,半筋湯,,
3,,210,半筋半肉湯,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度

