---,分隔線,商店資訊---
公司名稱,士東排骨
城市,台北市
鄉鎮市區,士林區
詳細地址,德行東路147號
電話,02-2838-0168
介紹,便當盒是市場最大(加大版)主菜、副菜分量最足夠。
訂購備註,內用滷肉飯吃到飽，便當送一杯500cc飲料(市價30元)
主分類,A
次分類,1
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
1,便當
2,大雞腿

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格


---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
1,,110,香酥排骨便當,,
1,,110,香滷排骨便當,,
1,,120,香滷豬腳便當,,
1,,100,滷肉飯便當,,
1,,110,宮保雞丁便當,,
1,,110,黑胡椒豬柳便當,,
1,,100,鯖魚便當,,
1,,100,香酥魚排便當,,
1,,110,焢肉飯便當,,
1,,150,香酥雞排便當,,
1,,150,蜜汁雞排便當,,
1,,100,香腸便當,,
1,,160,雙拼便當,,

2,,130,香酥大雞腿便當,,
2,,130,香滷大雞腿便當,,
2,,130,三杯大雞腿便當,,
2,,130,蜜汁大雞腿便當,,

---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
