---,分隔線,商店資訊---
公司名稱,勝口味大腸蚵仔麵線
城市,台北市
鄉鎮市區,士林區
詳細地址,中山北路七段183號
電話,02-2876-2814
營業時間,
介紹,台灣麵線專家 SINCE 1996
訂購備註,來電訂購滿五百元即可外送，跨區門檻為一千元，請提早兩小時以上來電。
主分類,A
次分類,3
是否顯示,1
強制更新,1
版本,3

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,招牌麵線
200,暖心湯品
300,經典小吃
400,必點小菜
500,復古飲品

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,選項,1

---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,正常,0
1,+肉羹,30
1,+大腸,35
1,+蚵仔,35



---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,1,大$80&小$55,大腸蚵仔麵線,,
100,1,大$80&小$55,大腸麵線,,
100,1,大$80&小$55,蚵仔麵線,,
100,1,75,肉羹麵線,,
100,1,45,清麵線,,
200,,55,四神湯,,
200,,55,香菇雞湯,,
200,,55,苦瓜排骨湯,,
300,,50,筒仔米糕,,
300,,50,古早味碗粿,,
300,,50,清蒸肉圓,,
300,,70,甜不辣,,
300,,80,肉粽,,
400,,40,台式泡菜
400,,40,涼拌小黃瓜,,
400,,45,秘制豆干,,
500,,30,經典紅茶,,
500,,30,冬瓜茶,,
500,,30,烏梅汁,,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
勝口味大腸蚵仔麵線 天母店,02-2876-2803,台北市,士林區,中山北路七段183號,,
勝口味大腸蚵仔麵線 芝山店,022833-3567,台北市,士林區,福華路164巷7號,,
勝口味大腸蚵仔麵線 內湖店,0939-122-568,台北市,內湖區,瑞光路517號2樓,,
勝口味大腸蚵仔麵線 龍江店,02-2503-1682,台北市,中山區,五常街87號,,
勝口味大腸蚵仔麵線 大安店,02-2708-8577,台北市,大安區,信義路四段30巷34號,,
