---,分隔線,商店資訊---
申請編號,
公司名稱,OK超商_來來超商股份有限公司
城市,台北市
鄉鎮市區,信義區
詳細地址,松德路97號B1樓
電話,02-6636-3666
網址,
聯絡人,
聯絡人電話,
介紹,
訂購備註,
進件管道,
主分類,C
次分類,3
是否顯示,1
強制更新,1
版本,4

---,分隔線,商品分類代碼,---
商品分類編號,商品分類名稱
100,咖啡
200,咖啡(熱)
300,風味咖啡
400,風味咖啡(熱)

---,分隔線,共用選項代碼,---
選項編號,選項名稱,必選項目
1,冷熱飲,1
2,冷熱飲,1
3,加購,0
4,加購,0


---,分隔線,共用選項價格代碼,---
選項編號,名稱,價格
1,冷飲,0
2,熱飲,0
3,濃縮,15
3,冰塊杯,15
3,蜂蜜風味糖漿,10
3,香草冰淇淋,25
4,濃縮,15
4,蜂蜜風味糖漿,10

---,分隔線,商品資料---
商品分類編號,選項,價格,名稱,簡單描述,詳細描述
100,1&3,M$35&L$45&XL$60,莊園美式 ,Specialty Americano,
100,1&3,M$45&L$55&XL$70,莊園拿鐵 ,Specialty Cafe Latte,
100,1&3,L$55,極淬莊園美式, Maximize Speciality Americano,
100,1&3,L$65,極淬莊園拿鐵, Maximize Speciality Cafe Latte,
100,1&3,L$55,特選招牌, Blended Coffee,
100,1&3,L$65,蜂蜜/焦糖霖拿鐵, Honey/Caramel Cafe Latte,
100,1&3,L$65,摩卡拿鐵, Cafe Mocha,
100,1&3,L$65,阿華田摩卡拿鐵, Ovaltine Cafe Mocha,
100,1&3,L$65,冰淇淋莊園美式, Ice Cream Specialty Americano,

200,2&4,M$35&L$45&XL$60,莊園美式 ,Specialty Americano,
200,2&4,M$45&L$55&XL$70,莊園拿鐵 ,Specialty Cafe Latte,
200,2&4,L$55,極淬莊園美式, Maximize Speciality Americano,
200,2&4,L$65,極淬莊園拿鐵, Maximize Speciality Cafe Latte,
200,2&4,L$55,特選招牌, Blended Coffee,
200,2&4,L$65,蜂蜜/焦糖霖拿鐵, Honey/Caramel Cafe Latte,
200,2&4,L$65,摩卡拿鐵, Cafe Mocha,
200,2&4,L$65,阿華田摩卡拿鐵 ,Ovaltine Cafe Mocha,
200,2&4,L$65,冰淇淋莊園美式 ,Ice Cream Specialty Americano,

300,1&3,L$45,經典紅茶/台灣青茶,Black Tea/Green Tea,
300,1&3,L$55,經典可可,Chocolate Milk,
300,1&3,L$55,焙茶拿鐵,Hojicha Latte,
300,1&3,L$55,錫蘭紅茶拿鐵,Ceylon Black Tea latte,
300,1&3,L$55,静岡抹茶拿鐵,Shizuoka Matcha latte,
300,1&3,L$55,茗京萃 紫蘇飲/百草甘,Mingjing Zisu Yin/Bai Cao Gan,
300,1&3,L$65,蜂蜜/焦糖驟奶茶,Honey / Caramel Milk Tea,
300,1&3,M$50,經典阿華田,Ovaltine Milk,
300,1&3,XL$65,冰淇淋紅茶,Ice Cream Black Tea,

400,2&4,L$45,經典紅茶/台灣青茶,Black Tea/Green Tea,
400,2&4,L$45,XL$55,熱牛奶,Hot Milk,
400,2&4,L$55,經典可可,Chocolate Milk,
400,2&4,L$55,焙茶拿鐵,Hojicha Latte,
400,2&4,L$55,錫蘭紅茶拿鐵,Ceylon Black Tea latte,
400,2&4,L$55,静岡抹茶拿鐵,Shizuoka Matcha latte,
400,2&4,L$55,茗京萃 紫蘇飲/百草甘,Mingjing Zisu Yin/Bai Cao Gan,
400,2&4,L$65,蜂蜜/焦糖驟奶茶,Honey / Caramel Milk Tea,
400,2&4,M$50,經典阿華田,Ovaltine Milk,


---,分隔線,分公司基本資料,---
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
