---,分隔線,商店資訊---
name,統一超商股份有限公司
city,臺北市
region,松山區
detailed_address,東興路8號8樓
phone,02-27478711
introduction,在城市 探索城事
order_note,請電洽訂購事宜
l1_category,C
l2_category,3
version,1

---,分隔線,商品分類代碼,---
category_code,category_name
100,CITY PRIMA
200,CITY CAFE
300,CITY PEARL/CITY TEA

---,分隔線,共用選項代碼,---
spid,option_name,single_option


---,分隔線,共用選項價格代碼,---
spid,option_name,extra_price


---,分隔線,商品資料---
category_code,option,price,name,product_simple,product_describe
100,,中杯$80&大杯$100,精品美式(冰),,
100,,中杯$90&大杯$110,精品拿鐵(冰),,
100,,中杯$100&大杯$120,精品馥芮白(冰),,
100,,110,精品椰厚拿鐵(冰),中杯容量,,
100,,110,精品燕麥拿鐵(冰),中杯容量,,
100,,小杯$60&中杯$80&大杯$100,精品美式(熱),,
100,,小杯$70&中杯$90&大杯$110,精品拿鐵(熱),,
100,,中杯$100&大杯$120,精品馥芮白(熱),,
100,,110,精品燕麥拿鐵(熱),中杯容量,
200,,90,榛果風味燕麥拿鐵(冰),大杯容量,
200,,75,福岡八女濃抹茶拿鐵(冰),大杯容量,
200,,75,鹿兒島濃焙茶拿鐵(冰),大杯容量,
200,,特大$60&大$45&中$35,美式咖啡(冰),,
200,,特大$70&大$55&中$45,拿鐵(冰),,
200,,特大$65&大$50,濃翠美式(冰),,
200,,特大$75&大$60,濃翠拿鐵(冰),,
200,,特大$85&大$65,厚乳拿鐵(冰),,
200,,55,卡布奇諾(冰),大杯容量,
200,,大$75&中$65,燕麥拿鐵(冰),,
200,,65,皇家伯爵紅茶拿鐵(冰),大杯容量,
200,,65,太妃焦糖風味瑪奇朵(冰),大杯容量,
200,,65,焙烤榛果風味拿鐵(冰),大杯容量,
200,,75,HERSHEY'S好時經典可可(冰),大杯容量,
200,,80,西西理風檸檬氣泡咖啡(冰),特大杯容量,
200,,75,西西理風檸檬咖啡(冰),特大杯容量,
200,,90,榛果風味燕麥拿鐵(熱),大杯容量,
200,,65,福岡八女濃抹茶拿鐵(熱),中杯容量,
200,,65,鹿兒島濃焙茶拿鐵(熱),中杯容量,
200,,99,GODIVA純濃熱巧可力(熱),中杯容量,
200,,特大$60&大$45&中$35,美式咖啡(熱),,
200,,特大$70&大$55&中$45,拿鐵(熱),,
200,,特大$65&大$50,濃翠美式(熱),,
200,,特大$75&大$60,濃翠拿鐵(熱),,
200,,特大$85&大$65,厚乳拿鐵(熱),,
200,,大$75&中$65,卡布奇諾(熱),,
200,,大$75&中$65,燕麥拿鐵(熱),,
200,,55,皇家伯爵紅茶拿鐵(熱),大杯容量,
200,,55,太妃焦糖風味瑪奇朵(熱),大杯容量,
200,,55,焙烤榛果風味拿鐵(熱),大杯容量,
200,,65,HERSHEY'S好時經典可可(熱),大杯容量,
300,,85,楊枝甘露,,
300,,85,懷舊鳳梨冰,,
300,,85,CITY水果冰沙-多肉葡萄,,
300,,75,蜜桃果粒冰茶,,
300,,75,團圓紅豆湯,,
300,,65,暖心燒仙草,,
300,,80,蜜香伯爵拿鐵(冰),,
300,,80,蜜香伯爵拿鐵(熱),,
300,,75,珍珠焙火烏龍奶茶(冰),,
300,,75,珍珠焙火烏龍奶茶(熱),,
300,,60,珍珠奶茶(冰),,
300,,60,珍珠奶茶(熱),,
300,,75,咖啡珍珠歐蕾(冰),,
300,,75,咖啡珍珠歐蕾(熱),,
300,,60,黑糖珍珠撞奶(冰),,
300,,60,黑糖珍珠撞奶(熱),,


---,分隔線,分公司基本資料,---
name,phone,city,region,detailed_address,latitude,longitude

